#string_protein_id,0
9606.ENSP00000218176,3750
9606.ENSP00000218224,10084;309470
9606.ENSP00000218230,27344
9606.ENSP00000218249,282808
9606.ENSP00000218316,9248
9606.ENSP00000218340,6102
9606.ENSP00000218348,8237
9606.ENSP00000218388,7076
9606.ENSP00000218436,347365
9606.ENSP00000218516,2717
9606.ENSP00000218548,479
9606.ENSP00000218721,2862
9606.ENSP00000218867,6445
9606.ENSP00000219022,10562
9606.ENSP00000219066,4913
9606.ENSP00000219069,10127
9606.ENSP00000219070,4313;605156
9606.ENSP00000219097,23594
9606.ENSP00000219139,80262
9606.ENSP00000219150,11151
9606.ENSP00000219162,84560
9606.ENSP00000219169,10204
9606.ENSP00000219197,869
9606.ENSP00000219204,23568
9606.ENSP00000219207,51090
9606.ENSP00000219235,6367
9606.ENSP00000219240,1723
9606.ENSP00000219244,6361
9606.ENSP00000219252,5432
9606.ENSP00000219255,50855
9606.ENSP00000219271,4324
9606.ENSP00000219281,79650
9606.ENSP00000219299,29070
9606.ENSP00000219301,221191
9606.ENSP00000219302,4832
9606.ENSP00000219313,5713
9606.ENSP00000219315,79918
9606.ENSP00000219334,102724538;55512
9606.ENSP00000219345,23659
9606.ENSP00000219368,612443;79152
9606.ENSP00000219400,56942
9606.ENSP00000219406,64714
9606.ENSP00000219409,398
9606.ENSP00000219431,4350
9606.ENSP00000219439,83693
9606.ENSP00000219454,58189
9606.ENSP00000219476,7249
9606.ENSP00000219478,26048
9606.ENSP00000219479,4833
9606.ENSP00000219481,26063
9606.ENSP00000219548,10273
9606.ENSP00000219596,4210
9606.ENSP00000219599,1428
9606.ENSP00000219611,6650
9606.ENSP00000219660,343
9606.ENSP00000219689,57478
9606.ENSP00000219746,27324
9606.ENSP00000219782,4150
9606.ENSP00000219789,10423
9606.ENSP00000219833,6530
9606.ENSP00000219837,400506
9606.ENSP00000219905,23269
9606.ENSP00000219919,366
9606.ENSP00000220003,1445
9606.ENSP00000220058,123263
9606.ENSP00000220062,51285
9606.ENSP00000220166,1512
9606.ENSP00000220325,30844
9606.ENSP00000220420,9333
9606.ENSP00000220429,2553;604408
9606.ENSP00000220478,29106
9606.ENSP00000220496,55192
9606.ENSP00000220507,171177
9606.ENSP00000220509,57617
9606.ENSP00000220514,11339
9606.ENSP00000220531,26258
